Treatment,AvgTemp,WaterLeft,EcLeft,WeightedSpad,new_leaf,Size_temp,Avg_temp,Max_temp
B,36,120,-0.065,67.5,0,22092,2898.405486,3636
B,36,120,-0.065,68.2,0,21385,2986.083376,3648
B,36,120,-0.065,68.9,0,22796,2921.754036,3794
B,36,120,-0.065,68.26666667,0,21811,2918.233689,3638
B,36,120,-0.065,67.63333333,0,20677,2878.02776,3597
B,36,120,-0.065,67,0,28065,2781.918546,3504
B,36,120,-0.065,66.36666667,1,27047,2818.573003,3480
B,36,120,-0.065,65.73333333,0,23964,2764.187072,3737
B,36,120,-0.065,65.1,0,22121,2765.158628,3536
B,36,120,-0.065,65.1,0,23032,2910.512114,3558
B,36,120,-0.065,65.1,0,16997,2844.109725,3459
B,36,120,-0.065,65.1,0,20649,2834.514117,3517
C,36,107.5,1.63,64.7,0,27147,2816.362766,3455
C,36,107.5,1.63,64.7,0,15250,2768.221246,3423
C,36,107.5,1.63,65.02857143,0,14556,2734.296922,3416
C,36,107.5,1.63,65.35714286,0,16065,2769.357174,3482
C,36,107.5,1.63,65.68571429,0,24802,2773.824893,3848
C,36,107.5,1.63,66.01428571,0,23956,2811.158499,3632
C,36,107.5,1.63,66.34285714,0,24752,2799.807935,3779
C,36,107.5,1.63,66.67142857,0,23170,2890.550108,4263
C,36,107.5,1.63,67,0,26480,2920.407213,4035
C,36,107.5,1.63,66.61666667,0,20095,2924.822195,3954
C,36,107.5,1.63,66.23333333,0,22454,2899.463214,3721
C,36,107.5,1.63,65.85,0,24825,2844.697402,3668
C,36,107.5,1.63,65.46666667,0,25895,2874.605677,3600
C,36,107.5,1.63,65.08333333,1,30717,2879.386984,3576
C,36,107.5,1.63,64.7,0,15760,2841.117957,3577
C,36,107.5,1.63,65.08333333,0,26439,2916.33999,3983
C,36,107.5,1.63,65.46666667,0,21368,2903.360492,3641
C,36,107.5,1.63,65.85,0,31300,2946.642556,3960
C,36,107.5,1.63,66.23333333,0,22495,2970.41507,3672
C,36,107.5,1.63,66.61666667,0,25892,2933.118338,3572
C,36,107.5,1.63,67,0,20774,2917.309329,3533
C,36,107.5,1.63,66.91666667,0,15927,2881.170089,3526
C,36,107.5,1.63,66.83333333,1,22931,2942.621648,3563
C,36,107.5,1.63,66.75,1,24820,2938.734367,4034
C,36,107.5,1.63,66.66666667,0,16743,2927.83408,3454
C,36,107.5,1.63,66.58333333,0,13373,2974.666118,3563
C,36,107.5,1.63,66.5,0,19506,2961.833846,3369
C,36,107.5,1.63,66.5,0,25097,2935.686457,3500
C,36,107.5,1.63,66.5,0,24262,2975.128184,3559
C,36,107.5,1.63,66.5,0,23925,2951.607064,3773
D,36,80,1.62,64.4,0,19760,2781.583957,3647
D,36,80,1.62,64.4,0,19523,2846.972135,3542
D,36,80,1.62,64.21428571,1,23874,2843.998366,3552
D,36,80,1.62,64.02857143,0,18957,2851.978319,3538
D,36,80,1.62,63.84285714,0,18872,2845.864349,3691
D,36,80,1.62,63.65714286,0,18609,2843.903756,3619
D,36,80,1.62,63.47142857,1,31261,2950.988036,3737
D,36,80,1.62,63.28571429,1,26914,2953.249647,3986
D,36,80,1.62,63.1,0,21752,2909.584958,3524
D,36,80,1.62,63.58333333,1,31588,2934.927599,4044
D,36,80,1.62,64.06666667,0,18225,2922.19786,3752
D,36,80,1.62,64.55,1,25266,2942.638012,3655
D,36,80,1.62,65.03333333,1,24474,2963.073997,3618
D,36,80,1.62,65.51666667,0,24308,2966.109264,3693
D,36,80,1.62,66,1,23286,2970.14528,3701
D,36,80,1.62,65.65,0,21090,2972.938739,3650
D,36,80,1.62,65.3,0,19876,2859.591165,3682
D,36,80,1.62,64.95,0,19360,2886.776446,3499
D,36,80,1.62,64.6,0,19766,2851.716786,4012
D,36,80,1.62,64.25,0,27105,2811.416934,3646
D,36,80,1.62,63.9,0,19867,2825.356521,3748
D,36,80,1.62,64.06666667,0,23077,2754.648568,3495
D,36,80,1.62,64.23333333,0,23111,2791.702523,3529
D,36,80,1.62,64.4,0,16177,2803.694814,3463
D,36,80,1.62,64.56666667,0,20997,2812.917703,3517
D,36,80,1.62,64.73333333,0,13164,2857.063962,3474
D,36,80,1.62,64.9,0,25392,2913.129214,3602
D,36,80,1.62,64.9,0,30969,2883.064807,3488
